1 1 Black_footed_Albatross "Phoebastria nigripes"
2 2 Laysan_Albatross "Phoebastria immutabilis"
3 3 Sooty_Albatross "Phoebetria fusca"
4 4 Groove_billed_Ani "Crotophaga sulcirostris"
5 5 Crested_Auklet "Aethia cristatella"
6 6 Least_Auklet "Aethia pusilla"
7 7 Parakeet_Auklet "Aethia psittacula"
8 8 Rhinoceros_Auklet "Cerorhinca monocerata"
9 9 Brewer_Blackbird "Euphagus cyanocephalus"
10 10 Red_winged_Blackbird "Agelaius phoeniceus"
11 11 Rusty_Blackbird "Euphagus carolinus"
12 12 Yellow_headed_Blackbird "Xanthocephalus xanthocephalus"
13 13 Bobolink "Dolichonyx oryzivorus"
14 14 Indigo_Bunting "Passerina cyanea"
15 15 Lazuli_Bunting "Passerina amoena"
16 16 Painted_Bunting "Passerina ciris"
17 17 Cardinal 
18 18 Spotted_Catbird "Ailuroedus maculosus"
19 19 Gray_Catbird "Dumetella carolinensis"
20 20 Yellow_breasted_Chat "Icteria virens"
21 21 Eastern_Towhee "Pipilo erythrophthalmus"
22 22 Chuck_will_Widow "Antrostomus carolinensis"
23 23 Brandt_Cormorant "Phalacrocorax penicillatus"
24 24 Red_faced_Cormorant "Phalacrocorax urile"
25 25 Pelagic_Cormorant "Phalacrocorax pelagicus"
26 26 Bronzed_Cowbird "Molothrus aeneus"
27 27 Shiny_Cowbird "Molothrus bonariensis"
28 28 Brown_Creeper "Certhia americana"
29 29 American_Crow "Corvus brachyrhynchos"
30 30 Fish_Crow "Corvus ossifragus"
31 31 Black_billed_Cuckoo "Coccyzus erythropthalmus"
32 32 Mangrove_Cuckoo "Coccyzus minor"
33 33 Yellow_billed_Cuckoo "Coccyzus americanus"
34 34 Gray_crowned_Rosy_Finch "Leucosticte tephrocotis"
35 35 Purple_Finch "Haemorhous purpureus"
36 36 Northern_Flicker "Colaptes auratus"
37 37 Acadian_Flycatcher "Empidonax virescens"
38 38 Great_Crested_Flycatcher "Myiarchus crinitus"
39 39 Least_Flycatcher "Empidonax minimus"
40 40 Olive_sided_Flycatcher "Contopus cooperi"
41 41 Scissor_tailed_Flycatcher "Tyrannus forficatus"
42 42 Vermilion_Flycatcher "Pyrocephalus obscurus"
43 43 Yellow_bellied_Flycatcher "Empidonax flaviventris"
44 44 Frigatebird 
45 45 Northern_Fulmar "Fulmarus glacialis"
46 46 Gadwall "Mareca strepera"
47 47 American_Goldfinch "Spinus tristis"
48 48 European_Goldfinch "Carduelis carduelis"
49 49 Boat_tailed_Grackle "Quiscalus major"
50 50 Eared_Grebe "Podiceps nigricollis"
51 51 Horned_Grebe "Podiceps auritus"
52 52 Pied_billed_Grebe "Podilymbus podiceps"
53 53 Western_Grebe "Aechmophorus occidentalis"
54 54 Blue_Grosbeak 
55 55 Evening_Grosbeak 
56 56 Pine_Grosbeak 
57 57 Rose_breasted_Grosbeak 
58 58 Pigeon_Guillemot 
59 59 California_Gull 
